Input,Output
"Scythe, toxic element, uncommon",Squall of the Scythe of Quake
"Orb, water element, mythic",Whirl of the Glaive
"Staff, light element, ancient",Mythic Edge of Fang
"Hammer, shadow element, ancient",Mythic Aegis of Whirl
"Hammer, toxic element, mythic",SunSlicer
"Axe, poison element, epic",Sacred of the Blade
"Bow, arcane element, rare",Snow-Wand
"Spear, earth element, rare",Rare Slicer of Sacred
"Scythe, toxic element, uncommon",Rain of the Lance
"Wand, shadow element, rare",Sanguine of the Blade
"Bow, storm element, uncommon",Root-Edge
"Scythe, poison element, common",Ancient Reaver
"Sword, wind element, mythic",Ancient Breaker of Mana
"Spear, void element, mythic",Common Shard
"Staff, lightning element, rare",Spell of the Fury
"Wand, blood element, common",StormBreaker of Breeze
"Mace, arcane element, mythic",Luminous of the Claw
"Wand, blood element, common",Quake of the Aegis of Ember
"Crossbow, ice element, mythic",Flame of the Slicer of Pulse
"Spear, storm element, legendary",Blessed-Whisper of Aurora
"Dagger, ice element, ancient",Tide-Shard
"Whip, poison element, rare",RootWand of Blessed
"Crossbow, wind element, ancient",The Kris
"Bow, void element, ancient",Hemorrhage-Whisper of Void
"Bow, lightning element, ancient",PulseMaul
"Axe, lightning element, legendary",Plague of the Lance
"Orb, water element, rare",HaloFury
"Orb, blood element, epic",StormWarden
"Spear, water element, uncommon",The Scythe
"Spear, void element, legendary",Blackhole of the Cutter
"Sword, ice element, ancient",LuminousTalon
"Sword, poison element, rare",Common Slicer
"Crossbow, light element, rare",Uncommon Breaker of Bolt
"Gauntlet, lightning element, rare",Aurora of the Fury of Shade
"Spear, storm element, epic",Toxic-Shard of Chill
"Shield, light element, legendary",Corrupt-Warden of Blessed
"Spear, shadow element, legendary",Tempest of the Cutter of Sanguine
"Mace, void element, mythic",Arcana of the Claw
"Mace, poison element, epic",Rain-Shard of Breeze
"Staff, wind element, legendary",The Edge
"Axe, void element, mythic",ZephyrShard of Mire
"Mace, ice element, mythic",SunWhisper
"Gauntlet, blood element, common",Aurora of the Whisper
"Spear, holy element, ancient",Deep-Talon
"Spear, storm element, common",Decay-Slicer of Faith
"Orb, holy element, rare",DuskEdge of Boulder
"Scythe, blood element, mythic",Uncommon Spire of Mystic
"Spear, blood element, rare",The Claw
"Orb, shadow element, epic",StormReaver of Blessed
"Hammer, void element, rare",Arcana of the Maul
"Gauntlet, ice element, legendary",Mythic Talon
"Staff, void element, mythic",Deep-Cutter of Volt
"Mace, ice element, mythic",Abyss-Aegis
"Hammer, arcane element, legendary",Volt of the Blade
"Axe, void element, rare",Flood of the Claw
"Crossbow, light element, rare",Shade-Shard of Decay
"Bow, storm element, mythic",Dusk-Warden of Decay
"Scythe, wind element",Mystic-Hammer
"Crossbow, ice element, mythic",Chill-Edge of Mana
"Crossbow, fire element, uncommon",Tide of the Slicer
"Shield, void element, rare",Umbral-Hammer
"Whip, storm element, rare",SacredScythe of Pyro
"Staff, blood element, ancient",Blight of the Blade
"Sword, blood element, rare",Rare Kris of Blight
"Orb, water element, rare",The Fang of Radiant
"Orb, storm element, mythic",WaveReaver of Gale
"Staff, light element, rare",Common Kris
"Scythe, earth element, uncommon",Legendary Blade
"Scythe, fire element, common",Flame of the Reaver
"Spear, void element",The Glaive
"Spear, toxic element, legendary",Terra-Spire
"Gauntlet, blood element, common",Uncommon Aegis of Grace
"Staff, wind element, ancient",Blessed-Scythe of Storm
"Shield, water element, epic",PulseScythe of Pyro
"Crossbow, void element, epic",Blessed-Whisper
"Shield, poison element, common",Fang of the Breaker
"Shield, water element, uncommon",Chill-Spire
"Dagger, ice element, uncommon",Plague-Slicer of Pulse
"Scythe, water element, legendary",Rare Hammer
"Shield, toxic element, mythic",Stone of the Lance of Spark
"Sword, water element, mythic",Chill-Staff
"Scythe, void element",ChillHammer of Blessed
"Mace, water element, common",Legendary Maul of Snow
"Wand, shadow element, rare",Epic Whisper of Whirl
"Scythe, poison element, common",Rune of the Reaver of Grace
"Gauntlet, holy element, epic",HaloTalon
"Gauntlet, void element",UmbralCutter
"Staff, holy element, epic",BoltSlicer
"Dagger, light element, ancient",Epic Scythe of Sanguine
"Mace, ice element, uncommon",Common Hammer of Blessed
"Shield, poison element, epic",The Scythe of Dusk
"Sword, fire element, common",The Slicer of Dark
"Bow, lightning element, ancient",ZephyrKris
"Bow, arcane element, ancient",IceStaff
"Gauntlet, fire element, legendary",Fang of the Warden
"Wand, blood element",Chill-Spire
"Scythe, earth element, legendary",Flood of the Whisper of Volt
"Scythe, lightning element",Rare Slicer of Pulse
"Axe, fire element, common",Halo-Kris of Terra
"Gauntlet, holy element, rare",Glacier-Glaive of Toxic
"Whip, light element, uncommon",Glacier-Spire of Dusk
"Whip, fire element, ancient",Sun-Edge of Breeze
"Whip, wind element, rare",Storm-Fury
"Wand, wind element, rare",Mire-Kris of Ember
"Sword, earth element, legendary",Glacier-Aegis
"Staff, holy element, common",DivineSpire of Dusk
"Bow, ice element, common",The Talon
"Shield, arcane element, mythic",Deep-Fang of Sanguine
"Staff, holy element, common",ChillEdge
"Whip, ice element",Abyss of the Lance
"Gauntlet, void element",Inferno of the Blade
"Shield, poison element, epic",Common Kris of Deep
"Axe, fire element, common",Flood of the Reaver
"Bow, shadow element, mythic",Rare Talon of Dusk
"Dagger, lightning element, mythic",Legendary Lance
"Whip, holy element, ancient",Night-Lance
"Hammer, blood element, legendary",AquaMaul
"Whip, fire element, uncommon",Arcana of the Reaver of Rune
"Sword, wind element, legendary",SunReaver of Blackhole
"Sword, wind element, mythic",Epic Spire of Snow
"Gauntlet, blood element, uncommon",The Scythe of Hemorrhage
"Crossbow, earth element, mythic",Rare Lance
"Crossbow, ice element, legendary",Sanguine of the Scythe
"Mace, light element, legendary",Epic Shard of Hemorrhage
"Hammer, wind element, uncommon",Luminous-Cutter of Flame
"Bow, blood element, epic",SnowWarden
"Hammer, fire element, uncommon",Crimson-Maul
"Gauntlet, lightning element, common",Null-Staff
"Orb, water element, mythic",Inferno-Lance
"Wand, holy element, common",Rune of the Slicer
"Crossbow, earth element, uncommon",VenomSpire of Glacier
"Spear, blood element, epic",Crimson-Breaker
"Shield, water element, legendary",Dark of the Aegis
"Whip, arcane element",Ancient Reaver of Gloom
"Staff, storm element, legendary",Deep-Blade of Glacier
"Shield, water element, uncommon",Mana of the Aegis
"Staff, void element, mythic",WhirlCutter
"Orb, toxic element, common",Ancient Cutter of Deep
"Staff, arcane element, legendary",Ancient Cutter
"Axe, toxic element, legendary",Sun of the Breaker
"Shield, ice element, ancient",Wave-Aegis
"Axe, lightning element, legendary",UmbralFang of Venom
"Shield, void element, rare",Plague of the Claw of Chill
"Gauntlet, earth element",Sacred-Edge
"Wand, poison element",Faith of the Wand
"Bow, storm element, uncommon",Uncommon Cutter of Rain
"Sword, earth element, legendary",Glacier-Reaver
"Dagger, wind element, ancient",WhirlScythe of Halo
"Orb, wind element, common",Blessed of the Kris
"Wand, shadow element, rare",SacredBreaker
"Bow, lightning element, epic",Aurora of the Fury of Mana
"Sword, ice element, legendary",Deep-Kris
"Scythe, wind element, legendary",Epic Fury
"Wand, blood element, common",Tempest of the Maul of Radiant
"Spear, blood element, legendary",Shock-Staff of Stone
"Spear, lightning element, ancient",MysticWand
"Spear, blood element, common",Legendary Reaver
"Whip, wind element, rare",Rune of the Scythe
"Scythe, void element",BlackholeCutter of Squall
"Axe, arcane element, epic",Rune of the Fury of Storm
"Orb, storm element, mythic",Stone-Talon
"Wand, toxic element, epic",Legendary Fury of Mire
"Staff, poison element, common",The Wand
"Staff, arcane element, legendary",Umbral-Fury of Mire
"Mace, water element, common",Quake of the Hammer
"Orb, arcane element, rare",The Talon
"Dagger, storm element, rare",Mythic Breaker of Blaze
"Sword, fire element, common",Aqua of the Wand
"Mace, shadow element, ancient",Thunder of the Maul
"Mace, water element, common",BlackholeSlicer
"Shield, light element, ancient",Tide-Edge of Aqua
"Dagger, poison element, legendary",Glacier of the Slicer
"Axe, wind element, common",Mythic Breaker
"Spear, poison element, rare",The Wand of Null
"Sword, fire element, common",Dark of the Aegis
"Staff, blood element, mythic",Sanguine of the Kris
"Orb, void element, rare",Gloom of the Aegis
"Crossbow, arcane element, uncommon",Crimson-Wand
"Orb, lightning element, legendary",The Claw of Terra
"Crossbow, toxic element, mythic",Legendary Whisper
"Axe, toxic element, legendary",WhirlShard of Breeze
"Spear, storm element, legendary",Aurora-Glaive
"Whip, shadow element, rare",Gloom of the Spire of Mystic
"Spear, blood element, rare",RainReaver of Grace
"Axe, void element",The Aegis
"Scythe, light element, uncommon",Plague of the Wand of Chill
"Scythe, lightning element, rare",The Kris
"Whip, wind element, mythic",WhirlStaff
"Staff, void element, mythic",Flame of the Kris
"Sword, water element, mythic",VoltStaff
"Shield, earth element, legendary",Night of the Kris
"Scythe, blood element, rare",Volt of the Hammer
"Scythe, lightning element, ancient",Zephyr of the Shard
"Sword, earth element, legendary",Blight-Reaver
"Scythe, poison element, legendary",Arcana of the Shard of Night
"Spear, void element, legendary",Frost of the Staff
"Wand, toxic element, ancient",SanguineCutter of Zephyr
"Shield, void element, epic",Umbral of the Shard
"Dagger, poison element, uncommon",Rain-Cutter
"Wand, poison element, rare",Sanguine-Talon
"Mace, holy element, rare",Pyro-Shard of Night
"Hammer, fire element, legendary",AcidKris of Deep
"Shield, light element, legendary",FangKris
"Bow, shadow element, mythic",StoneEdge
"Sword, wind element, legendary",Epic Slicer of Deep
"Scythe, blood element, common",Volt of the Slicer of Dark
"Wand, shadow element, mythic",BlackholeFury of Shock
"Scythe, shadow element, rare",Plague-Cutter of Squall
"Dagger, poison element, legendary",FloodScythe
"Whip, lightning element, mythic",The Hammer
"Staff, holy element, rare",The Shard
"Crossbow, void element, epic",Night-Cutter of Toxic
"Hammer, ice element, epic",Mystic-Reaver of Whirl
"Bow, void element, epic",Mire-Edge
"Dagger, lightning element, mythic",The Spire
"Shield, fire element, mythic",Sanguine-Slicer of Sacred
"Sword, poison element, ancient",Rare Glaive
"Shield, fire element, legendary",Luminous-Aegis of Terra
"Spear, toxic element, epic",Ancient Shard
"Staff, blood element, mythic",Gale-Blade
"Staff, toxic element, mythic",Epic Shard of Hemorrhage
"Hammer, toxic element, rare",The Whisper of Null
"Orb, poison element, ancient",Ancient Glaive
"Wand, water element, mythic",Wave-Reaver
"Mace, wind element, uncommon",Mana of the Spire
"Spear, blood element, rare",Shock-Warden
"Gauntlet, arcane element, ancient",BoltClaw of Gale
"Wand, void element",Sanguine of the Reaver
"Bow, holy element, uncommon",Mythic Claw of Chill
"Wand, blood element, common",Mystic-Breaker
"Dagger, ice element, legendary",Halo of the Aegis
"Bow, wind element, uncommon",Shade-Whisper
"Bow, ice element, rare",Plague of the Whisper
"Mace, shadow element, rare",Blight of the Scythe
"Whip, toxic element, legendary",AcidReaver
"Whip, arcane element, mythic",Toxic of the Kris of Chill
"Shield, shadow element, epic",Arcana of the Slicer of Plague
"Wand, ice element, epic",Rune of the Fury of Null
"Whip, arcane element, mythic",Common Cutter of Flame
"Bow, void element, ancient",Null-Whisper
"Gauntlet, toxic element, legendary",StormBlade
"Bow, storm element, mythic",SunGlaive of Void
"Shield, blood element, rare",Dusk-Wand of Rain
"Staff, storm element, legendary",Halo-Maul
"Sword, blood element",ToxicAegis
"Dagger, light element, uncommon",BreezeWand
"Staff, blood element, ancient",Legendary Lance
"Spear, shadow element, legendary",Mystic-Fang
"Wand, ice element, epic",The Scythe of Hemorrhage
"Crossbow, earth element, ancient",The Kris of Terra
"Bow, void element, mythic",IceWand
"Dagger, ice element, ancient",DivineGlaive of Void
"Sword, storm element, rare",Common Scythe of Luminous
"Dagger, lightning element, mythic",Toxic of the Scythe
"Gauntlet, holy element, rare",Crimson-Talon
"Whip, ice element, epic",Toxic-Kris of Terra
"Spear, earth element",WhirlBreaker of Blight
"Crossbow, arcane element, uncommon",Ancient Maul of Snow
"Mace, storm element, mythic",Legendary Reaver of Blessed
"Spear, arcane element, ancient",WhirlShard of Hemorrhage
"Crossbow, blood element, mythic",Corrupt of the Claw
"Bow, ice element, ancient",Shock-Talon
"Scythe, holy element, uncommon",Common Aegis
"Spear, water element, ancient",Epic Aegis of Ember
"Wand, holy element, common",Rain of the Lance
"Staff, toxic element, mythic",Venom of the Whisper
"Mace, ice element, mythic",Flame of the Warden
"Hammer, ice element, epic",Radiant-Lance
"Scythe, fire element, common",Common Edge of Breeze
"Wand, earth element",Deep of the Cutter of Flame
"Orb, holy element, rare",Gale-Whisper of Tide
"Spear, ice element, epic",Faith of the Kris of Deep
"Whip, blood element, ancient",Chill-Aegis of Abyss
"Gauntlet, poison element, rare",Venom of the Lance of Aqua
"Shield, poison element, legendary",Blight-Shard of Mire
"Gauntlet, fire element, legendary",Thunder of the Scythe
"Spear, void element",Toxic-Kris of Cloud
"Scythe, shadow element, legendary",RadiantReaver of Decay
"Shield, arcane element, mythic",Common Cutter of Blaze
"Scythe, holy element, uncommon",Fang-Shard of Chill
"Spear, arcane element, epic",Abyss of the Hammer
"Hammer, fire element",Acid of the Warden of Spell
"Wand, light element, ancient",ChillBreaker
"Hammer, shadow element, ancient",Uncommon Whisper
"Shield, poison element, common",DivineAegis of Terra
"Axe, wind element, common",Ancient Maul
"Shield, fire element, mythic",AcidSpire of Blaze
"Shield, light element, legendary",GlacierScythe of Snow
"Dagger, toxic element, uncommon",Rare Cutter of Gale
"Scythe, ice element, ancient",WaveStaff
"Wand, blood element",Mystic-Edge
"Staff, void element, ancient",Quake of the Kris of Grace
"Scythe, shadow element, rare",Rain of the Spire of Shock
"Wand, earth element",Sun-Scythe
"Shield, blood element, ancient",SnowGlaive of Ember
"Sword, earth element, mythic",Rare Fang of Umbral
"Axe, arcane element, epic",The Blade of Glacier
"Crossbow, light element, legendary",AcidWand of Null
"Wand, toxic element, epic",Tide-Warden of Spell
"Shield, light element, legendary",The Maul
"Staff, toxic element, epic",TerraBlade
"Hammer, blood element, legendary",The Warden
"Dagger, lightning element, ancient",VoltBreaker of Bolt
"Whip, ice element",Spell of the Cutter of Squall
"Orb, toxic element, common",Pyro-Slicer of Deep
"Orb, toxic element, ancient",WaveSpire of Radiant
"Whip, lightning element, rare",The Cutter
"Staff, water element, rare",Common Warden
"Crossbow, earth element, uncommon",Night-Shard
"Whip, holy element, ancient",Ancient Kris of Grace
"Staff, poison element, common",Mire-Warden
"Whip, holy element, uncommon",Night of the Wand of Null
"Sword, earth element, common",DuskFang of Corrupt
"Staff, void element, common",The Spire
"Mace, poison element, epic",Sanguine-Aegis of Grace
"Shield, light element, uncommon",IceCutter of Flame
"Whip, toxic element, legendary",Storm-Aegis of Ember
"Staff, wind element, ancient",The Wand of Bolt
"Scythe, toxic element, epic",The Shard of Hemorrhage
"Staff, lightning element, rare",Ancient Blade
"Orb, wind element, common",Dusk-Wand of Rain
"Staff, lightning element, mythic",The Slicer
"Spear, water element, uncommon",Plague of the Shard
"Spear, earth element, legendary",Deep-Hammer of Decay
"Whip, wind element, mythic",RainReaver
"Mace, void element, mythic",Common Cutter of Sanguine
"Scythe, wind element, legendary",Umbral-Kris
"Mace, lightning element",Rune of the Fang of Night
"Orb, lightning element, legendary",Legendary Kris
"Bow, ice element, ancient",The Shard
"Scythe, void element, uncommon",Tide of the Whisper
"Orb, shadow element, epic",Stone of the Glaive
"Staff, wind element, common",Crimson-Wand of Acid
"Scythe, wind element, uncommon",ChillAegis of Terra
"Orb, toxic element, mythic",Volt-Talon
"Wand, light element, common",Dark of the Shard of Boulder
"Staff, ice element, uncommon",The Kris of Aqua
"Crossbow, fire element, rare",Crimson-Breaker of Decay
"Staff, lightning element, rare",Mythic Whisper
"Spear, earth element",Snow-Maul
"Sword, light element, rare",Root-Slicer
"Dagger, shadow element, mythic",Arcana-Fang of Aqua
"Mace, toxic element, legendary",Tide of the Maul
"Scythe, storm element, rare",Mire-Shard of Breeze
"Mace, light element",Ember of the Slicer
"Axe, poison element, epic",Umbral-Glaive of Toxic
"Crossbow, water element, uncommon",PulseEdge of Blackhole
"Dagger, holy element, mythic",Epic Cutter
"Mace, fire element, uncommon",Zephyr of the Fang of Rune
"Wand, ice element, epic",SnowScythe of Quake
"Crossbow, void element, ancient",Epic Wand
"Whip, light element, uncommon",Chill of the Cutter of Squall
"Shield, light element, rare",GloomKris of Umbral
"Sword, holy element, legendary",Uncommon Edge
"Whip, storm element, rare",Dark of the Spire
"Sword, water element, mythic",Mythic Spire of Pyro
"Staff, lightning element, common",Sun-Lance
"Bow, void element, common",Whirl of the Claw
"Crossbow, storm element, uncommon",VenomKris
"Axe, poison element, epic",Dusk-Talon
"Sword, toxic element, rare",FangLance of Spark
"Staff, storm element, legendary",FlameKris of Chill
"Spear, earth element",Tide of the Slicer
"Bow, light element, epic",BreezeBreaker of Breeze
"Orb, void element, common",Decay-Talon of Bolt
"Spear, ice element, epic",Mythic Cutter of Thunder
"Wand, water element, epic",Luminous-Breaker
"Staff, water element, rare",Arcana of the Scythe
"Orb, earth element, ancient",Gloom-Kris
"Axe, toxic element, legendary",Quake of the Lance
"Crossbow, water element, epic",Mire of the Breaker
"Spear, wind element, ancient",The Whisper of Whirl
"Crossbow, fire element",Rare Slicer of Dark
"Mace, light element, legendary",Fang-Wand
"Staff, water element, rare",Chill of the Hammer
"Staff, shadow element, common",The Fury
"Shield, shadow element, epic",Sun-Reaver
"Sword, toxic element, common",The Maul
"Dagger, storm element, rare",Luminous of the Spire of Snow
"Mace, light element, legendary",Shade-Whisper of Void
"Mace, toxic element, rare",TerraStaff of Shade
"Sword, poison element, ancient",GlacierScythe
"Gauntlet, wind element, common",Snow-Staff of Shade
"Orb, toxic element, ancient",HaloStaff
"Scythe, shadow element, rare",Null of the Claw
"Dagger, poison element, uncommon",Abyss-Shard of Breeze
"Axe, storm element",BlazeMaul
"Orb, shadow element, legendary",Shade-Edge
"Shield, light element, ancient",Void of the Fury of Storm
"Bow, fire element, epic",IceScythe of Storm
"Orb, toxic element, common",Mire-Warden
"Sword, toxic element",Rare Kris of Grace
"Axe, water element, rare",Common Aegis of Quake
"Axe, arcane element, uncommon",ArcanaClaw
"Bow, ice element, ancient",Thunder-Shard of Hemorrhage
"Spear, wind element, mythic",Mythic Shard of Hemorrhage
"Gauntlet, ice element, uncommon",BlackholeShard
"Crossbow, storm element, uncommon",Inferno of the Fang
"Gauntlet, earth element, common",Sacred-Warden of Decay
"Gauntlet, lightning element, rare",FangKris
"Scythe, storm element, ancient",DuskGlaive
"Scythe, ice element, common",HaloReaver
"Axe, void element",Epic Kris
"Crossbow, fire element, rare",Shade-Shard
"Shield, lightning element, ancient",Plague of the Claw
"Spear, wind element, legendary",The Lance
"Orb, arcane element, common",Fang of the Reaver of Grace
"Hammer, blood element, legendary",Mana of the Breaker of Mana
"Crossbow, blood element, mythic",Shock-Edge
"Shield, water element, legendary",Corrupt of the Spire of Snow
"Orb, poison element, legendary",The Kris of Ember
"Mace, fire element, mythic",Ancient Breaker
"Spear, water element, ancient",DarkBreaker of Squall
"Axe, void element",Mire of the Scythe of Luminous
"Orb, fire element, ancient",Pulse-Reaver of Rune
"Spear, earth element, legendary",Inferno-Shard of Night
"Shield, poison element, common",Rain of the Blade of Mire
"Crossbow, wind element, ancient",The Lance of Hemorrhage
"Crossbow, light element, rare",The Fang
"Mace, arcane element, common",Sun of the Warden
"Axe, water element, mythic",Rune-Scythe of Halo
"Gauntlet, holy element, legendary",Rare Wand
"Whip, toxic element, common",Uncommon Staff
"Sword, holy element, mythic",SunSlicer
"Mace, shadow element, ancient",Shade-Whisper of Void
"Spear, void element, legendary",Null of the Shard of Shade
"Gauntlet, lightning element, common",Terra-Edge of Aqua
"Wand, lightning element, rare",Legendary Claw
"Staff, earth element, mythic",Radiant-Scythe
"Axe, toxic element",Mystic of the Warden
"Whip, fire element, ancient",SacredMaul
"Staff, toxic element, rare",LuminousReaver
"Whip, toxic element, legendary",Plague of the Scythe of Wave
"Orb, lightning element, rare",LuminousBlade of Mire
"Bow, lightning element, epic",FaithWand of Umbral
"Hammer, blood element, mythic",Stone of the Reaver of Decay
"Gauntlet, poison element, uncommon",Ice of the Glaive
"Whip, wind element, mythic",DarkTalon
"Staff, ice element, common",Spell of the Edge
"Orb, ice element",Stone-Lance of Toxic
"Staff, wind element, common",The Reaver
"Bow, ice element, common",DuskGlaive
"Wand, lightning element, rare",DivineWand of Null
"Staff, poison element, common",Volt of the Lance of Aqua
"Sword, poison element, ancient",Ancient Warden of Decay
"Hammer, toxic element, epic",Breeze of the Edge of Blackhole
"Scythe, earth element, legendary",Blackhole-Wand
"Spear, blood element, rare",The Blade
"Crossbow, fire element",Null of the Wand
"Bow, toxic element, mythic",The Lance of Spark
"Sword, ice element, legendary",Rare Breaker
"Axe, blood element, rare",AquaHammer
"Axe, void element, mythic",Legendary Breaker of Bolt
"Whip, arcane element, rare",The Claw
"Crossbow, ice element, common",Storm-Shard
"Axe, holy element, legendary",Gale-Edge
"Bow, lightning element, epic",Storm-Fury
"Staff, shadow element, rare",Night-Scythe of Pyro
"Orb, arcane element, common",Abyss-Wand
"Orb, light element, rare",Ember-Fury
"Mace, void element, common",Venom of the Spire of Dusk
"Orb, arcane element, common",BlackholeClaw of Radiant
"Spear, arcane element, epic",Dusk-Wand of Rain
"Mace, light element",The Maul
"Bow, wind element, common",The Blade of Snow
"Gauntlet, blood element, uncommon",BoltCutter
"Bow, wind element, uncommon",AcidFang of Sanguine
"Axe, fire element, rare",Toxic-Spire
"Axe, void element, rare",Blight-Lance of Tempest
"Axe, arcane element, epic",Uncommon Spire
"Crossbow, ice element, legendary",Dark of the Reaver
"Crossbow, wind element, common",Toxic of the Warden
"Shield, void element, mythic",Wave of the Hammer
"Gauntlet, toxic element, legendary",Null of the Fang of Umbral
"Whip, poison element, mythic",Deep-Claw
"Axe, shadow element, rare",Frost of the Wand
"Staff, holy element, rare",SacredGlaive
"Spear, earth element, rare",FloodClaw
"Scythe, shadow element, uncommon",Storm-Lance
"Bow, storm element, mythic",Tide of the Breaker
"Spear, earth element, legendary",Tide-Aegis of Ember
"Orb, earth element, ancient",Breeze of the Scythe
"Gauntlet, fire element, legendary",Whirl-Breaker of Toxic
"Staff, wind element, legendary",Blackhole of the Hammer of Blessed
"Spear, void element, legendary",The Maul of Halo
"Hammer, fire element",Fang-Claw
"Wand, shadow element, rare",Volt of the Maul of Snow
"Sword, fire element, ancient",The Whisper
"Mace, shadow element, ancient",Quake of the Maul
"Whip, holy element, uncommon",ChillClaw
"Orb, arcane element, legendary",Common Shard of Breeze
"Sword, light element, ancient",Tide of the Lance
"Hammer, fire element, uncommon",Hemorrhage-Staff
"Staff, water element, rare",FaithScythe of Pyro
"Hammer, light element, uncommon",SnowSlicer of Sacred
"Sword, lightning element, epic",Toxic-Shard
"Orb, shadow element, legendary",Plague of the Scythe
"Scythe, toxic element, uncommon",ChillKris
"Crossbow, water element, uncommon",Faith of the Hammer
"Shield, wind element, ancient",Mire-Aegis
"Staff, shadow element, rare",Legendary Scythe
"Scythe, lightning element",Chill-Shard of Squall
"Sword, toxic element, uncommon",Toxic of the Kris of Ember
"Spear, water element, common",Tempest of the Hammer
"Orb, ice element, epic",Stone-Cutter
"Sword, holy element, legendary",Chill of the Staff of Rune
"Hammer, shadow element, ancient",Flame of the Cutter of Spark
"Bow, storm element, mythic",Mythic Reaver
"Dagger, wind element, common",Rare Scythe
"Sword, holy element, mythic",ToxicClaw of Gale
"Scythe, water element, common",Epic Lance of Acid
"Gauntlet, poison element, uncommon",Mire of the Cutter of Flame
"Whip, toxic element, common",Chill of the Scythe of Dark
"Orb, holy element, rare",Mythic Spire of Storm
"Crossbow, void element, ancient",Whirl-Spire
"Shield, lightning element, ancient",Gloom of the Lance
"Staff, ice element, uncommon",Legendary Claw of Abyss
"Crossbow, ice element, common",Storm-Reaver of Rune
"Gauntlet, void element",Storm-Shard of Shade
"Spear, ice element, epic",Flood of the Kris of Stone
"Shield, void element, epic",CrimsonGlaive
"Scythe, arcane element, rare",GlacierBlade
"Sword, void element, mythic",Tide-Wand
"Whip, wind element, ancient",FloodBreaker of Blaze
"Wand, holy element, common",Ancient Wand of Rain
"Scythe, wind element",Chill-Wand
"Axe, light element, legendary",Rain of the Cutter
"Bow, toxic element, mythic",Grace-Kris of Ember
"Mace, fire element, uncommon",The Slicer of Sacred
"Crossbow, light element, rare",SparkMaul of Snow
"Bow, lightning element, ancient",Rare Warden
"Shield, fire element, mythic",Aurora of the Maul
"Mace, toxic element, common",The Edge of Spell
"Orb, ice element",Abyss of the Scythe of Quake
"Axe, toxic element, uncommon",WhirlHammer
"Scythe, water element, mythic",Grace-Scythe of Storm
"Mace, ice element, epic",SunStaff of Rune
"Scythe, blood element, mythic",DivineReaver of Rune
"Whip, shadow element, rare",Epic Fang of Umbral
"Shield, storm element, epic",Plague of the Kris of Aqua
"Wand, storm element, ancient",Volt of the Slicer of Deep
"Sword, storm element, rare",Deep-Kris
"Crossbow, earth element, ancient",Gale of the Claw
"Mace, wind element, uncommon",Glacier-Breaker of Tide
"Hammer, holy element, epic",Decay-Fury of Mana
"Sword, toxic element, common",The Slicer
"Scythe, lightning element, rare",Uncommon Shard of Boulder
"Hammer, arcane element, rare",Thunder-Blade of Mire
"Dagger, wind element, common",MireWand
"Gauntlet, void element",Ancient Wand
"Hammer, arcane element, rare",Spell-Maul
"Wand, toxic element, ancient",BreezeShard of Boulder
"Gauntlet, poison element, uncommon",Null-Whisper of Tide
"Orb, earth element, ancient",Common Breaker
"Bow, void element, epic",The Staff of Mystic
"Staff, shadow element, common",Mythic Scythe of Venom
"Axe, poison element, epic",Common Talon of Dusk
"Shield, wind element, ancient",PulseFang of Sanguine
"Orb, lightning element, legendary",The Claw
"Axe, wind element, common",Rain-Maul
"Hammer, toxic element, epic",Plague of the Scythe of Wave
"Wand, fire element",ZephyrAegis
"Scythe, lightning element, ancient",Decay-Slicer
"Bow, wind element, common",Epic Breaker
"Orb, ice element, mythic",DivineAegis of Blackhole
"Gauntlet, poison element, uncommon",Mythic Hammer of Flood
"Bow, toxic element, ancient",Aurora of the Reaver
"Axe, water element, mythic",Zephyr of the Cutter of Sanguine
"Bow, blood element, epic",BoltTalon of Dusk
"Orb, poison element, legendary",Thunder of the Hammer
"Gauntlet, wind element, uncommon",Common Spire of Mystic
"Bow, ice element, epic",Deep of the Fury
"Axe, water element, rare",Legendary Shard
"Axe, fire element, uncommon",Umbral-Edge
"Mace, water element, common",Aqua of the Maul
"Scythe, arcane element, legendary",The Scythe
"Gauntlet, lightning element, rare",ZephyrKris
"Mace, water element, common",Quake of the Spire of Shock
"Whip, water element, rare",Null-Scythe
"Crossbow, water element, ancient",Sun-Kris
"Orb, ice element, epic",DarkWand
"Orb, lightning element, rare",The Edge of Boulder
"Wand, water element, mythic",Flood of the Edge
"Mace, arcane element, ancient",SparkMaul
"Axe, void element, mythic",FangScythe of Pyro
"Mace, arcane element, ancient",Faith of the Warden
"Gauntlet, void element, mythic",IceClaw of Blood
"Shield, shadow element, epic",Uncommon Blade of Glacier
"Spear, ice element, epic",Legendary Lance
"Staff, wind element, common",TerraTalon of Flame
"Dagger, fire element, ancient",Mythic Talon of Bolt
"Wand, earth element, uncommon",Umbral-Kris of Aqua
"Orb, toxic element, mythic",Rain-Kris
"Orb, toxic element, ancient",Plague of the Wand
"Hammer, arcane element, rare",The Scythe of Hemorrhage
"Axe, holy element, rare",Blessed of the Slicer of Dark
"Crossbow, earth element, ancient",Uncommon Fury
"Shield, light element, ancient",Epic Breaker
"Whip, wind element, mythic",Blaze-Edge of Aqua
"Axe, holy element, legendary",Boulder-Fang
"Scythe, void element, common",RainScythe
"Sword, lightning element, uncommon",Legendary Edge of Boulder
"Orb, storm element, legendary",ToxicGlaive of Void
